document_type,intent,bullet_points
creative writing,"Comedy Story: Write a humorous story with coincidences, misunderstandings, or quirky situations.","{""Question 1"": ""What is the central premise or main idea of your comedy story?"", ""Question 2"": ""Who are the main characters, and what are their unique quirks or traits that can lead to humorous situations?"", ""Question 3"": ""What are some potential coincidences or misunderstandings that can drive the plot and create comedic moments?"", ""Question 4"": ""What is the setting of your story, and how can it contribute to the humor?"", ""Question 5"": ""What is the main conflict or problem that the characters will face, and how can it be resolved in a funny way?"", ""Question 6"": ""How will you use dialogue to enhance the humor and reveal character personalities?"", ""Question 7"": ""What are some specific scenes or scenarios that you envision being particularly funny?"", ""Question 8"": ""Who is your target audience, and what type of humor will resonate most with them?"", ""Question 9"": ""How will you balance the humor with a coherent plot to keep the story engaging?"", ""Question 10"": ""What are some potential themes or messages you want to convey through the humor in your story?""}"
blog post,Personal Development: Write about strategies for improving mental health and well-being based on personal experiences.,"{""Question 1"": ""What personal experiences have significantly impacted your mental health and well-being?"", ""Question 2"": ""What specific strategies have you found most effective in improving your mental health?"", ""Question 3"": ""How can you describe the challenges you faced before implementing these strategies?"", ""Question 4"": ""What changes did you notice in your mental health and well-being after adopting these strategies?"", ""Question 5"": ""Who is your target audience, and what are their likely struggles with mental health?"", ""Question 6"": ""How can you make your personal experiences relatable to your audience?"", ""Question 7"": ""What actionable advice can you offer to your readers based on your experiences?"", ""Question 8"": ""How can you structure your blog post to keep your audience engaged from start to finish?"", ""Question 9"": ""What resources or references can you include to support your strategies and experiences?"", ""Question 10"": ""How can you encourage your readers to share their own experiences and strategies for improving mental health?""}"
email,Apology Letter: Write a sincere letter apologizing to a friend or colleague for a misunderstanding or mistake.,"{""Question 1"": ""What specific misunderstanding or mistake are you apologizing for, and how did it occur?"", ""Question 2"": ""How did your actions or words affect your friend or colleague emotionally and/or professionally?"", ""Question 3"": ""What is the context or background of the situation that led to the misunderstanding or mistake?"", ""Question 4"": ""Why is it important for you to apologize to this person, and what do you hope to achieve with this apology?"", ""Question 5"": ""What specific words or phrases can you use to express your sincere regret and take responsibility for your actions?"", ""Question 6"": ""How can you acknowledge the feelings and perspective of your friend or colleague in your apology?"", ""Question 7"": ""What steps have you taken or will you take to rectify the situation or prevent it from happening again?"", ""Question 8"": ""How can you convey your commitment to improving your behavior or communication in the future?"", ""Question 9"": ""What tone and language should you use to ensure your apology comes across as genuine and heartfelt?"", ""Question 10"": ""How can you close the email in a way that leaves the door open for reconciliation and continued positive relationship?""}"
creative writing,Mystery Thriller: Write a suspenseful story about a detective solving an intriguing case.,"{""Question 1"": ""What is the central mystery or crime that the detective needs to solve?"", ""Question 2"": ""Who is the main detective character, and what are their key traits and background?"", ""Question 3"": ""What motivates the detective to solve this particular case?"", ""Question 4"": ""Who are the primary suspects, and what are their possible motives and alibis?"", ""Question 5"": ""What clues and red herrings will be introduced to keep the reader guessing?"", ""Question 6"": ""What is the setting of the story, and how does it contribute to the suspenseful atmosphere?"", ""Question 7"": ""How will the detective gather information and piece together the clues?"", ""Question 8"": ""What obstacles or challenges will the detective face during the investigation?"", ""Question 9"": ""How will the story build tension and suspense leading up to the resolution?"", ""Question 10"": ""What is the resolution of the mystery, and how will the detective reveal the truth?""}"
email,Performance Evaluation: Write a comprehensive performance evaluation for an employee or team member.,"{""Question 1"": ""What are the key achievements and contributions of the employee or team member during the evaluation period?"", ""Question 2"": ""How has the employee or team member demonstrated growth or improvement in their role?"", ""Question 3"": ""What specific goals or objectives were set for the employee or team member, and how well were they met?"", ""Question 4"": ""What strengths and skills has the employee or team member consistently exhibited?"", ""Question 5"": ""Are there any areas where the employee or team member needs improvement or further development?"", ""Question 6"": ""How has the employee or team member's performance impacted the team or organization as a whole?"", ""Question 7"": ""What feedback have colleagues, clients, or other stakeholders provided about the employee or team member's performance?"", ""Question 8"": ""What specific examples or evidence can you provide to support your evaluation of the employee or team member's performance?"", ""Question 9"": ""What goals or objectives should be set for the employee or team member for the next evaluation period?"", ""Question 10"": ""How can you support the employee or team member in achieving their future goals and improving their performance?""}"
blog post,"Personal Essays: Share personal reflections and introspections on various topics, exploring deeper meanings and connections.","{""Question 1"": ""What personal experience or story do you want to share in this blog post, and why is it significant to you?"", ""Question 2"": ""What deeper meanings or insights have you gained from this experience that you want to explore in your essay?"", ""Question 3"": ""Who is your target audience for this blog post, and what do you want them to take away from your reflections?"", ""Question 4"": ""How can you connect your personal story to broader themes or universal experiences that will resonate with your readers?"", ""Question 5"": ""What emotions or feelings do you want to evoke in your readers through your writing?"", ""Question 6"": ""What specific details, anecdotes, or examples can you include to make your reflections more vivid and engaging?"", ""Question 7"": ""How will you structure your essay to ensure a clear and compelling narrative flow?"", ""Question 8"": ""What lessons or messages do you want to convey through your personal reflections, and how can you articulate them effectively?"", ""Question 9"": ""How can you use descriptive language and sensory details to immerse your readers in your experience?"", ""Question 10"": ""What questions or prompts can you pose to your readers to encourage them to reflect on their own experiences and connections to your story?""}"
blog post,"Cryptocurrency Analysis: Provide insights into cryptocurrencies, explaining economic factors and mechanisms influencing their value.","{""Question 1"": ""What are the key cryptocurrencies that should be analyzed in this blog post, and why are they significant?"", ""Question 2"": ""What economic factors most significantly influence the value of these cryptocurrencies?"", ""Question 3"": ""How do supply and demand dynamics affect the price of cryptocurrencies?"", ""Question 4"": ""What role do government regulations and policies play in the cryptocurrency market?"", ""Question 5"": ""How do technological advancements and innovations impact the value and adoption of cryptocurrencies?"", ""Question 6"": ""Who is the target audience for this blog post, and what level of understanding do they have about cryptocurrencies?"", ""Question 7"": ""What are the common misconceptions about cryptocurrencies that should be addressed in this analysis?"", ""Question 8"": ""How can historical data and trends be used to predict future movements in cryptocurrency values?"", ""Question 9"": ""What are the potential risks and rewards associated with investing in cryptocurrencies?"", ""Question 10"": ""How can readers stay informed about ongoing changes and developments in the cryptocurrency market?""}"
blog post,Productivity Advice: Offer strategies for overcoming distractions and improving focus to achieve long-term goals.,"{""Question 1"": ""What are the most common distractions that people face when trying to focus on their long-term goals?"", ""Question 2"": ""What are some proven strategies for overcoming these distractions?"", ""Question 3"": ""How can readers identify their personal distractions and triggers?"", ""Question 4"": ""What role does environment play in maintaining focus, and how can readers optimize their workspace?"", ""Question 5"": ""What are some time management techniques that can help readers stay on track with their long-term goals?"", ""Question 6"": ""How can readers set realistic and achievable goals to maintain motivation and focus?"", ""Question 7"": ""What are some tools or apps that can assist readers in minimizing distractions and improving productivity?"", ""Question 8"": ""How can readers develop a daily routine that supports sustained focus and productivity?"", ""Question 9"": ""What are the psychological aspects of distraction, and how can readers train their minds to stay focused?"", ""Question 10"": ""Can you share personal anecdotes or case studies that illustrate successful strategies for overcoming distractions and achieving long-term goals?""}"
creative writing,"Epic Fantasy: Write a story about a hero's journey in an imagined world filled with mythical creatures, fantastical realms, and challenges.","{""Question 1"": ""What is the central quest or mission that drives the hero's journey in your epic fantasy story?"", ""Question 2"": ""Who is the hero of your story, and what are their key characteristics, strengths, and weaknesses?"", ""Question 3"": ""What is the imagined world like, including its geography, cultures, and history?"", ""Question 4"": ""What mythical creatures inhabit your world, and what roles do they play in the story?"", ""Question 5"": ""What fantastical realms or locations will the hero visit during their journey, and what makes each place unique?"", ""Question 6"": ""What challenges and obstacles will the hero face, and how will these shape their character and growth?"", ""Question 7"": ""Who are the key allies and mentors that will assist the hero, and what are their motivations and backgrounds?"", ""Question 8"": ""Who or what is the primary antagonist or force of evil in your story, and what are their goals and motivations?"", ""Question 9"": ""How does the hero's journey impact the broader world and its inhabitants, and what are the stakes involved?"", ""Question 10"": ""What themes and messages do you want to convey through the hero's journey and the epic fantasy setting?""}"
creative writing,Contemporary Life: Write a story about professional relationships and personal growth in a contemporary work setting.,"{""Question 1"": ""Who is the protagonist, and what is their role in the contemporary work setting?"", ""Question 2"": ""What are the key professional relationships that will be explored in the story?"", ""Question 3"": ""How does the protagonist's work environment influence their personal growth?"", ""Question 4"": ""What specific challenges does the protagonist face in their professional life?"", ""Question 5"": ""How do these professional challenges impact the protagonist's personal life and growth?"", ""Question 6"": ""What are the main conflicts or tensions between the protagonist and their colleagues or superiors?"", ""Question 7"": ""How do the protagonist's personal values and goals align or clash with their professional responsibilities?"", ""Question 8"": ""What pivotal moments or events will drive the protagonist's development and relationships in the story?"", ""Question 9"": ""How do secondary characters contribute to the protagonist's journey of personal growth?"", ""Question 10"": ""What is the ultimate resolution or outcome for the protagonist in terms of their professional relationships and personal growth?""}"
blog post,"Tech Review: Analyze the pros and cons of a new gadget or software, offering insights for potential buyers.","{""Question 1"": ""What are the key features and specifications of the new gadget or software that should be highlighted?"", ""Question 2"": ""Who is the target audience for this tech review, and what are their primary concerns or interests?"", ""Question 3"": ""What are the main advantages of this gadget or software compared to its competitors?"", ""Question 4"": ""What are the potential drawbacks or limitations of this gadget or software that buyers should be aware of?"", ""Question 5"": ""How does the price of the gadget or software compare to similar products on the market?"", ""Question 6"": ""What are the real-world applications or use cases for this gadget or software?"", ""Question 7"": ""What kind of user experience can buyers expect from this gadget or software in terms of ease of use, performance, and reliability?"", ""Question 8"": ""Are there any notable reviews or testimonials from other users or experts that can be referenced?"", ""Question 9"": ""What are the long-term considerations for buyers, such as updates, customer support, and warranty?"", ""Question 10"": ""What is the overall recommendation for potential buyers, and who would benefit most from this gadget or software?""}"
blog post,"Marketing Strategies: Discuss various tools and strategies to improve marketing efforts, focusing on enhancing engagement and conversions.","{""Question 1"": ""What are the primary goals you want to achieve with this blog post on marketing strategies?"", ""Question 2"": ""Who is the target audience for this blog post, and what are their key characteristics and needs?"", ""Question 3"": ""What are the main marketing tools and strategies you plan to discuss, and why are they relevant to your audience?"", ""Question 4"": ""How can you structure the blog post to ensure it is engaging and easy to follow for your readers?"", ""Question 5"": ""What real-life examples or case studies can you include to illustrate the effectiveness of the marketing strategies you are discussing?"", ""Question 6"": ""What are the common challenges your audience faces in marketing, and how can the strategies you discuss help overcome these challenges?"", ""Question 7"": ""How can you incorporate data or statistics to support the effectiveness of the marketing tools and strategies you are recommending?"", ""Question 8"": ""What actionable tips or steps can you provide to help your readers implement the marketing strategies you discuss?"", ""Question 9"": ""How can you optimize the blog post for search engines to increase its visibility and reach a wider audience?"", ""Question 10"": ""What call-to-action (CTA) will you include to encourage readers to engage further with your content or services?""}"
blog post,"Health and Fitness Advice: Share practical tips and strategies for improving physical health, fitness, and overall well-being.","{""Question 1"": ""What are the main health and fitness topics you want to cover in this blog post?"", ""Question 2"": ""Who is your target audience, and what are their primary health and fitness concerns?"", ""Question 3"": ""What practical tips and strategies can you offer that are backed by credible sources or personal experience?"", ""Question 4"": ""How can you structure the blog post to make it easy for readers to follow and understand your advice?"", ""Question 5"": ""What common misconceptions about health and fitness can you address and clarify for your readers?"", ""Question 6"": ""How can you incorporate real-life examples or success stories to illustrate your points?"", ""Question 7"": ""What actionable steps can readers take immediately after reading your blog post to improve their health and fitness?"", ""Question 8"": ""How can you ensure that your advice is inclusive and applicable to a diverse audience with varying fitness levels and goals?"", ""Question 9"": ""What tone and style will you use to engage and motivate your readers effectively?"", ""Question 10"": ""How will you conclude your blog post to leave a lasting impression and encourage readers to take action or seek further information?""}"
email,"Event Invitation: Invite guests to a special event, providing details and generating excitement.","{""Question 1"": ""What is the main purpose of the event and why is it important for the guests to attend?"", ""Question 2"": ""Who is the target audience for this event and what are their interests or needs?"", ""Question 3"": ""What are the key details of the event (date, time, location) that need to be clearly communicated?"", ""Question 4"": ""What specific information about the event should be highlighted to generate excitement and interest?"", ""Question 5"": ""How can you personalize the invitation to make each recipient feel valued and special?"", ""Question 6"": ""What is the desired tone and style of the email to match the nature of the event?"", ""Question 7"": ""What call-to-action should be included to encourage guests to RSVP or take the next step?"", ""Question 8"": ""Are there any special instructions or additional information (e.g., dress code, parking) that need to be included?"", ""Question 9"": ""How can you convey a sense of urgency or importance to prompt a timely response from the guests?"", ""Question 10"": ""What follow-up information or contact details should be provided in case guests have questions or need further assistance?""}"
blog post,"Book Review: Analyze a book's themes, writing style, and impact, sharing your personal response and recommendations.","{""Question 1"": ""What are the main themes of the book, and how are they developed throughout the story?"", ""Question 2"": ""How would you describe the author's writing style, and how does it contribute to the overall impact of the book?"", ""Question 3"": ""What are the key plot points and how do they drive the narrative forward?"", ""Question 4"": ""Who are the main characters, and how do their personalities and actions influence the story?"", ""Question 5"": ""What is your personal response to the book, and how did it affect you emotionally or intellectually?"", ""Question 6"": ""What are the strengths and weaknesses of the book, and how do they affect your overall impression?"", ""Question 7"": ""How does the book compare to other works by the same author or within the same genre?"", ""Question 8"": ""What specific examples from the book can you use to support your analysis of its themes and writing style?"", ""Question 9"": ""Who is the intended audience for this book, and how well does it meet their expectations?"", ""Question 10"": ""Would you recommend this book to others, and if so, what type of reader would most enjoy it?""}"
creative writing,Young Adult Fantasy: Write a story about a teenager discovering their extraordinary abilities in a world where magic exists.,"{""Question 1"": ""What is the main character's background, personality, and initial situation before discovering their abilities?"", ""Question 2"": ""What kind of magical abilities does the teenager discover, and how do they manifest?"", ""Question 3"": ""What is the setting of the story, including the world where magic exists? Describe its rules, geography, and societal structure."", ""Question 4"": ""Who are the key supporting characters, and what roles do they play in the protagonist's journey?"", ""Question 5"": ""What is the central conflict or challenge that the protagonist faces after discovering their abilities?"", ""Question 6"": ""How does the protagonist's discovery of their abilities affect their relationships with friends, family, and others in their world?"", ""Question 7"": ""What are the protagonist's goals and motivations throughout the story?"", ""Question 8"": ""What obstacles and antagonists does the protagonist encounter, and how do they impact the story's progression?"", ""Question 9"": ""How does the protagonist grow and change as a result of their experiences and challenges?"", ""Question 10"": ""What is the intended message or theme of the story, and how do you want the young adult audience to feel or think after reading it?""}"
